ccn,cms_name,cms_name_as_of,state,hospital_type,ownership,beds,latitude,longitude,prior_names
501307,ODESSA MEMORIAL HEALTHCARE CENTER,2023-10,WA,Critical Access,Government - Hospital District or Authority,37.0,47.331592,-118.6821,
501308,COULEE MEDICAL CENTER,2023-10,WA,Critical Access,Government - Hospital District or Authority,25.0,47.942382,-119.005555,COULEE COMMUNITY HOSPITAL
501309,PROVIDENCE ST JOSEPH HOSPITAL,2023-10,WA,Critical Access,Voluntary non-profit - Church,52.0,48.278213,-117.710846,
501310,NEWPORT COMMUNITY HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,61.0,48.18217,-117.04842,
501311,EAST ADAMS RURAL HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,9.0,47.120959,-118.372258,
501312,PROSSER MEMORIAL HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,25.0,46.20763,-119.763502,
501313,CASCADE MEDICAL CENTER,2023-10,WA,Critical Access,Government - Hospital District or Authority,9.0,47.594457,-120.661503,
501314,OCEAN BEACH HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,24.0,46.311696,-124.043352,
501315,SKYLINE HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,17.0,45.722474,-121.469921,
501316,KLICKITAT VALLEY HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,21.0,45.820239,-120.812299,
501317,COLUMBIA BASIN HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,72.0,47.315742,-119.548125,
501318,OTHELLO COMMUNITY HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,16.0,46.830363,-119.154363,
501319,ARBOR HEALTH MORTON HOSPITAL,2023-10,WA,Critical Access,Government - Local,25.0,46.555953,-122.279878,MORTON GENERAL HOSPITAL | MORTON SWING BED
501320,QUINCY VALLEY MEDICAL CENTER,2023-10,WA,Critical Access,Government - Hospital District or Authority,20.0,47.230954,-119.869181,QUINCY VALLEY HOSPITAL
501321,NORTH VALLEY HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,21.0,48.706819,-119.439597,
501322,FERRY COUNTY MEMORIAL HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,25.0,48.652745,-118.733177,
501323,JEFFERSON HEALTHCARE,2023-10,WA,Critical Access,Government - Hospital District or Authority,25.0,48.105539,-122.790285,JEFFERSON HEALTHCARE HOSPITAL
501324,THREE RIVERS HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,25.0,48.106824,-119.782686,
501325,FORKS COMMUNITY HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,38.0,47.946356,-124.393471,
501326,PROVIDENCE MOUNT CARMEL HOSPITAL,2023-10,WA,Critical Access,Voluntary non-profit - Church,25.0,48.541303,-117.892385,
501327,WHITMAN HOSPITAL AND MEDICAL CENTER,2023-10,WA,Critical Access,Government - Hospital District or Authority,25.0,46.868919,-117.375012,
501328,MID VALLEY HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,25.0,48.396527,-119.545328,
501329,PEACEHEALTH UNITED GENERAL MEDICAL CENTER,2023-10,WA,Critical Access,Government - Hospital District or Authority,27.0,48.495516,-122.275287,
501330,ASTRIA SUNNYSIDE HOSPITAL,2023-10,WA,Critical Access,Voluntary non-profit - Private,25.0,46.322218,-120.006966,SUNNYSIDE COMMUNITY HOSPITAL
501331,PULLMAN REGIONAL HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,25.0,46.713462,-117.169846,
501332,TRI-STATE MEMORIAL HOSPITAL,2023-10,WA,Critical Access,Voluntary non-profit - Private,25.0,46.403638,-117.054507,
