ccn,cms_name,cms_name_as_of,state,hospital_type,ownership,beds,latitude,longitude,prior_names
270032,NORTHERN MONTANA HOSPITAL,2023-10,MT,Acute Care,Voluntary non-profit - Private,198.0,48.539326,-109.686363,
270049,ST VINCENT HEALTHCARE,2023-10,MT,Acute Care,Voluntary non-profit - Church,248.0,45.793166,-108.520281,
270051,LOGAN HEALTH MEDICAL CENTER,2023-10,MT,Acute Care,Voluntary non-profit - Private,292.0,48.215685,-114.324753,KALISPELL REGIONAL MEDICAL CENTER
270057,BOZEMAN HEALTH DEACONESS HOSPITAL,2023-10,MT,Acute Care,Voluntary non-profit - Private,89.0,45.670278,-111.017239,BOZEMAN DEACONESS HOSPITAL
270074,P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET,2023-10,MT,Acute Care,Government - Federal,26.0,,,BLACKFEET COMMUNITY HOSPITAL-BROWNING
270086,GREAT FALLS CLINIC HOSPITAL,2023-10,MT,Acute Care,Proprietary,20.0,47.487737,-111.254561,GREAT FALLS CLINIC MEDICAL CENTER
270087,THE HEALTHCENTER,2022-01,MT,Acute Care,Proprietary,30.0,48.216208,-114.324047,HEALTH CENTER NORTHWEST
270089,BIG SKY MEDICAL CENTER,2020-10,MT,Acute Care,Voluntary non-profit - Private,4.0,,,
271300,POPLAR COMMUNITY HOSPITAL,2023-10,MT,Critical Access,Voluntary non-profit - Private,18.0,48.114957,-105.192124,
271301,FALLON MEDICAL COMPLEX HOSPITAL,2023-10,MT,Critical Access,Voluntary non-profit - Private,30.0,46.365532,-104.281553,
271302,DAHL MEMORIAL HEALTHCARE ASSOCIATION,2023-10,MT,Critical Access,Voluntary non-profit - Private,28.0,45.887724,-104.548785,DAHL MEMORIAL HEALTHCARE ASSOC
271303,GRANITE COUNTY MEDICAL CENTER,2023-10,MT,Critical Access,Government - Hospital District or Authority,25.0,46.332755,-113.294207,
271304,MISSOURI RIVER MEDICAL CENTER,2023-10,MT,Critical Access,Government - Hospital District or Authority,45.0,,,
271305,MCCONE COUNTY HEALTH CENTER,2023-10,MT,Critical Access,Voluntary non-profit - Private,26.0,47.418937,-105.581834,
271306,MOUNTAINVIEW MEDICAL CENTER,2023-10,MT,Critical Access,Voluntary non-profit - Private,25.0,46.548207,-110.904216,
271307,BENEFIS TETON MEDICAL CENTER,2023-10,MT,Critical Access,Voluntary non-profit - Private,39.0,47.81342,-112.192457,TETON MEDICAL CENTER
271308,ROOSEVELT MEDICAL CENTER,2023-10,MT,Critical Access,Voluntary non-profit - Private,27.0,48.151336,-104.515396,
271309,PRAIRIE COMMUNITY CAH,2023-10,MT,Critical Access,Government - Hospital District or Authority,22.0,46.791506,-105.315997,PRAIRIE COMMUNITY HOSPITAL
271310,GARFIELD COUNTY HEALTH CENTER,2023-10,MT,Critical Access,Government - Local,28.0,47.318524,-106.911328,
271311,BIG SANDY MEDICAL CENTER,2023-10,MT,Critical Access,Government - Hospital District or Authority,26.0,48.17908,-110.108217,
271312,PHILLIPS COUNTY HOSPITAL - CAH,2023-10,MT,Critical Access,Voluntary non-profit - Private,7.0,48.357098,-107.860356,PHILLIPS COUNTY MEDICAL CENTER
271313,PIONEER MEDICAL CENTER,2023-10,MT,Critical Access,Government - Local,39.0,45.82848,-109.952427,
271314,DEER LODGE MEDICAL CENTER - CAH,2023-10,MT,Critical Access,Voluntary non-profit - Private,18.0,46.412634,-112.72633,DEER LODGE MEDICAL CENTER
271315,P H S INDIAN HOSPITAL-FT BELKNAP AT HARLEM - CAH,2023-10,MT,Critical Access,Government - Federal,6.0,48.485189,-108.767001,
271316,FRANCES MAHON DEACONESS HOSPITAL,2023-10,MT,Critical Access,Voluntary non-profit - Private,25.0,48.189571,-106.636379,
271317,LIVINGSTON HEALTHCARE,2023-10,MT,Critical Access,Voluntary non-profit - Private,24.0,45.676043,-110.525425,
271318,BARRETT HOSPITAL & HEALTHCARE,2023-10,MT,Critical Access,Government - Hospital District or Authority,20.0,45.200654,-112.646003,BARRETT MEMORIAL HOSPITAL
271319,RUBY VALLEY MEDICAL CENTER,2023-10,MT,Critical Access,Government - Hospital District or Authority,9.0,45.452585,-112.191453,RUBY VALLEY HOSPITAL
271320,CABINET PEAKS MEDICAL CENTER,2023-10,MT,Critical Access,Voluntary non-profit - Private,25.0,48.392621,-115.546271,
271321,WHEATLAND MEMORIAL HOSPITAL,2023-10,MT,Critical Access,Voluntary non-profit - Private,25.0,46.437001,-109.840505,
271322,SHERIDAN MEMORIAL HOSPTIAL,2023-10,MT,Critical Access,Voluntary non-profit - Private,82.0,48.778677,-104.562998,
271323,CLARK FORK VALLEY HOSPITAL,2023-10,MT,Critical Access,Voluntary non-profit - Private,41.0,47.469539,-114.891908,
271324,PONDERA MEDICAL CENTER,2023-10,MT,Critical Access,Voluntary non-profit - Private,79.0,48.173917,-111.958677,
271325,ST LUKE COMMUNITY HOSPITAL,2023-10,MT,Critical Access,Voluntary non-profit - Private,100.0,47.528835,-114.106242,
271326,BEARTOOTH BILLINGS CLINIC,2023-10,MT,Critical Access,Voluntary non-profit - Private,11.0,45.211697,-109.243045,
271327,ROSEBUD HEALTH CARE CENTER,2023-10,MT,Critical Access,Voluntary non-profit - Private,52.0,46.271304,-106.670752,
271328,MARIAS MEDICAL CENTER,2023-10,MT,Critical Access,Government - Local,60.0,48.509604,-111.850493,
271329,MADISON VALLEY MEDICAL CENTER,2023-10,MT,Critical Access,Government - Hospital District or Authority,10.0,45.3514,-111.732567,
271330,STILLWATER BILLINGS CLINIC,2023-10,MT,Critical Access,Voluntary non-profit - Private,12.0,45.642686,-109.243178,
271331,MINERAL COMMUNITY HOSPITAL,2023-10,MT,Critical Access,Voluntary non-profit - Private,25.0,47.184726,-114.876579,
271332,GLENDIVE MEDICAL CENTER,2023-10,MT,Critical Access,Voluntary non-profit - Other,85.0,47.117226,-104.704953,
271333,BILLINGS CLINIC BROADWATER,2023-10,MT,Critical Access,Voluntary non-profit - Private,35.0,46.321354,-111.516428,BROADWATER HEALTH CENTER
271334,LIBERTY MEDICAL CENTER,2023-10,MT,Critical Access,Voluntary non-profit - Private,25.0,48.510497,-110.971834,
271335,COMMUNITY HOSPITAL OF ANACONDA,2023-10,MT,Critical Access,Voluntary non-profit - Private,87.0,46.133111,-112.956153,
271336,LOGAN HEALTH - WHITEFISH,2023-10,MT,Critical Access,Voluntary non-profit - Private,25.0,48.381032,-114.331326,NORTH VALLEY HOSPITAL
271337,NORTHERN ROCKIES MEDICAL CENTER,2023-10,MT,Critical Access,Voluntary non-profit - Private,20.0,48.62878,-112.326345,
271338,BIG HORN CO MEMORIAL HOSPITAL,2023-10,MT,Critical Access,Government - Local,24.0,45.728856,-107.61701,BIG HORN HOSPITAL
271339,P H S INDIAN HOSPITAL CROW / NORTHERN CHEYENNE,2023-10,MT,Critical Access,Government - Federal,24.0,,,
271340,BITTERROOT HEALTH - DALY HOSPITAL,2023-10,MT,Critical Access,Voluntary non-profit - Private,30.0,46.247158,-114.171365,MARCUS DALY MEMORIAL HOSPITAL - CAH
271341,TRINITY HOSPITAL,2023-10,MT,Critical Access,Voluntary non-profit - Private,82.0,48.100893,-105.641138,
271342,DANIELS MEMORIAL HOSPITAL,2023-10,MT,Critical Access,Government - Hospital District or Authority,42.0,48.788624,-105.418587,
271343,PROVIDENCE ST JOSEPH MEDICAL CENTER,2023-10,MT,Critical Access,Voluntary non-profit - Private,22.0,47.683344,-114.163327,
271344,SIDNEY HEALTH CENTER,2023-10,MT,Critical Access,Voluntary non-profit - Private,115.0,47.715839,-104.174171,
271345,CENTRAL MONTANA MEDICAL CENTER,2023-10,MT,Critical Access,Voluntary non-profit - Private,60.0,47.058464,-109.442243,
271346,ROUNDUP MEMORIAL HEALTHCARE,2023-10,MT,Critical Access,Government - Hospital District or Authority,25.0,46.45335,-108.546333,
271347,HOLY ROSARY HEALTHCARE,2023-10,MT,Critical Access,Voluntary non-profit - Church,109.0,46.397355,-105.827837,
271389,BIG SKY MEDICAL CENTER,2023-10,MT,Critical Access,Voluntary non-profit - Private,5.0,45.2608,-111.300738,
500001,UW MEDICINE/NORTHWEST HOSPITAL,2021-10,WA,Acute Care,Voluntary non-profit - Other,201.0,47.712263,-122.335936,NORTHWEST HOSPITAL | NORTHWEST HOSPITAL & MEDICAL CENTER
500002,PROVIDENCE ST MARY MEDICAL CENTER,2023-10,WA,Acute Care,Voluntary non-profit - Private,98.0,46.06294,-118.343136,
500003,SKAGIT VALLEY HOSPITAL,2023-10,WA,Acute Care,Government - Hospital District or Authority,136.0,48.417422,-122.324335,
500005,VIRGINIA MASON MEDICAL CENTER,2023-10,WA,Acute Care,Voluntary non-profit - Private,267.0,47.610179,-122.327809,
500007,ISLAND HOSPITAL,2023-10,WA,Acute Care,Government - Hospital District or Authority,42.0,48.502883,-122.615825,
500008,UNIVERSITY OF WASHINGTON MEDICAL CTR,2023-10,WA,Acute Care,Government - State,466.0,47.650506,-122.307482,
500011,HIGHLINE MEDICAL CENTER,2023-10,WA,Acute Care,Voluntary non-profit - Private,164.0,47.456778,-122.341455,
500012,ASTRIA REGIONAL MEDICAL CENTER,2020-10,WA,Acute Care,Proprietary,138.0,46.597985,-120.521096,"YAKIMA HMA, INC. D/B/A YAKIMA REGIONAL MEDICAL AND CARDIAC CENTER | YAKIMA REGIONAL MEDICAL AND CARDIAC CENTER"
500014,PROVIDENCE REGIONAL MEDICAL CENTER EVERETT,2023-10,WA,Acute Care,Voluntary non-profit - Church,505.0,48.000086,-122.207979,
500015,MULTICARE AUBURN MEDICAL CENTER,2023-10,WA,Acute Care,Voluntary non-profit - Private,146.0,47.309343,-122.229833,AUBURN REGIONAL MEDICAL CENTER
500016,CENTRAL WASHINGTON HOSPITAL,2023-10,WA,Acute Care,Voluntary non-profit - Private,190.0,47.407963,-120.324593,
500019,PROVIDENCE CENTRALIA HOSPITAL,2023-10,WA,Acute Care,Voluntary non-profit - Other,106.0,46.71235,-122.986989,
500021,ST CLARE HOSPITAL,2023-10,WA,Acute Care,Voluntary non-profit - Church,100.0,47.154213,-122.504495,SAINT CLARE HOSPITAL
500024,PROVIDENCE ST PETER HOSPITAL,2023-10,WA,Acute Care,Voluntary non-profit - Private,324.0,47.052791,-122.844369,
500025,SWEDISH MEDICAL CENTER / CHERRY HILL,2023-10,WA,Acute Care,Voluntary non-profit - Church,207.0,47.606221,-122.310249,SWEDISH MEDICAL CENTER - CHERRY HILL | SWEDISH MEDICAL CENTER/CHERRY HILL
500026,SWEDISH EDMONDS HOSPITAL,2023-10,WA,Acute Care,Voluntary non-profit - Private,168.0,47.802884,-122.33569,
